start;stop;from;from_ip;server;server_dist;server_ping;download;upload;share_url
2016-03-16 13:05:01;2016-03-16 13:05:29;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.291 ms;91.58 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5172355177.png
2016-03-16 13:10:01;2016-03-16 13:10:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.793 ms;89.38 Mbit/s;14.65 Mbit/s;http://www.speedtest.net/result/5172367774.png
2016-03-16 13:15:01;2016-03-16 13:15:33;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.208 ms;93.22 Mbit/s;17.04 Mbit/s;http://www.speedtest.net/result/5172380317.png
2016-03-16 13:20:01;2016-03-16 13:20:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.999 ms;91.34 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5172392520.png
2016-03-16 13:25:01;2016-03-16 13:25:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.989 ms;91.92 Mbit/s;18.32 Mbit/s;http://www.speedtest.net/result/5172405037.png
2016-03-16 13:30:01;2016-03-16 13:30:32;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.126 ms;92.67 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5172417754.png
2016-03-16 13:35:01;2016-03-16 13:35:29;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.888 ms;92.15 Mbit/s;17.03 Mbit/s;http://www.speedtest.net/result/5172430385.png
2016-03-16 13:40:01;2016-03-16 13:40:35;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;24.355 ms;90.12 Mbit/s;19.16 Mbit/s;http://www.speedtest.net/result/5172443504.png
2016-03-16 13:45:01;2016-03-16 13:45:31;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;27.241 ms;92.32 Mbit/s;13.88 Mbit/s;http://www.speedtest.net/result/5172456224.png
2016-03-16 13:50:01;2016-03-16 13:50:33;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.755 ms;91.63 Mbit/s;17.05 Mbit/s;http://www.speedtest.net/result/5172469546.png
2016-03-16 13:55:01;2016-03-16 13:55:25;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.234 ms;91.58 Mbit/s;19.15 Mbit/s;http://www.speedtest.net/result/5172482048.png
2016-03-16 14:00:01;2016-03-16 14:00:41;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.694 ms;84.98 Mbit/s;17.10 Mbit/s;http://www.speedtest.net/result/5172496265.png
2016-03-16 14:05:01;2016-03-16 14:05:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.224 ms;90.45 Mbit/s;18.56 Mbit/s;http://www.speedtest.net/result/5172509409.png
2016-03-16 14:10:01;2016-03-16 14:10:30;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.163 ms;92.46 Mbit/s;19.53 Mbit/s;http://www.speedtest.net/result/5172522818.png
2016-03-16 14:15:01;2016-03-16 14:15:30;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.271 ms;92.39 Mbit/s;19.53 Mbit/s;http://www.speedtest.net/result/5172536405.png
2016-03-16 14:20:01;2016-03-16 14:20:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.979 ms;92.45 Mbit/s;17.67 Mbit/s;http://www.speedtest.net/result/5172549887.png
2016-03-16 14:25:01;2016-03-16 14:25:30;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.327 ms;86.52 Mbit/s;18.06 Mbit/s;http://www.speedtest.net/result/5172563336.png
2016-03-16 14:30:01;2016-03-16 14:30:35;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.004 ms;91.35 Mbit/s;19.11 Mbit/s;http://www.speedtest.net/result/5172577452.png
2016-03-16 14:35:01;2016-03-16 14:35:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.968 ms;92.46 Mbit/s;17.24 Mbit/s;http://www.speedtest.net/result/5172591050.png
2016-03-16 14:40:01;2016-03-16 14:40:32;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.862 ms;93.03 Mbit/s;19.37 Mbit/s;http://www.speedtest.net/result/5172604845.png
2016-03-16 14:45:01;2016-03-16 14:45:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;24.769 ms;89.19 Mbit/s;19.35 Mbit/s;http://www.speedtest.net/result/5172618673.png
2016-03-16 14:50:01;2016-03-16 14:50:33;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.859 ms;92.30 Mbit/s;16.58 Mbit/s;http://www.speedtest.net/result/5172632593.png
2016-03-16 14:55:01;2016-03-16 14:55:33;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;27.821 ms;92.47 Mbit/s;14.01 Mbit/s;http://www.speedtest.net/result/5172646402.png
2016-03-16 15:00:01;2016-03-16 15:00:30;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;24.416 ms;90.26 Mbit/s;19.46 Mbit/s;http://www.speedtest.net/result/5172660310.png
2016-03-16 15:05:02;2016-03-16 15:05:29;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;28.236 ms;87.07 Mbit/s;19.48 Mbit/s;http://www.speedtest.net/result/5172674733.png
2016-03-16 15:10:01;2016-03-16 15:10:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.256 ms;92.70 Mbit/s;19.58 Mbit/s;http://www.speedtest.net/result/5172688172.png
2016-03-16 15:15:01;2016-03-16 15:15:29;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;24.8 ms;90.87 Mbit/s;18.42 Mbit/s;http://www.speedtest.net/result/5172701511.png
2016-03-16 15:20:01;2016-03-16 15:20:30;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;25.555 ms;91.50 Mbit/s;19.57 Mbit/s;http://www.speedtest.net/result/5172715108.png
2016-03-16 15:25:01;2016-03-16 15:25:33;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;27.527 ms;91.78 Mbit/s;18.54 Mbit/s;http://www.speedtest.net/result/5172729031.png
2016-03-16 15:30:01;2016-03-16 15:30:35;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;26.302 ms;89.04 Mbit/s;17.28 Mbit/s;http://www.speedtest.net/result/5172743089.png
2016-03-16 15:35:01;2016-03-16 15:35:32;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;28.263 ms;85.14 Mbit/s;14.28 Mbit/s;http://www.speedtest.net/result/5172757190.png
2016-03-16 15:40:01;2016-03-16 15:40:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.245 ms;85.11 Mbit/s;19.46 Mbit/s;http://www.speedtest.net/result/5172770981.png
2016-03-16 15:45:01;2016-03-16 15:45:32;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.072 ms;88.01 Mbit/s;16.33 Mbit/s;http://www.speedtest.net/result/5172785181.png
2016-03-16 15:50:01;2016-03-16 15:50:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.738 ms;93.31 Mbit/s;14.42 Mbit/s;http://www.speedtest.net/result/5172798847.png
2016-03-16 15:55:01;2016-03-16 15:55:29;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;26.644 ms;92.75 Mbit/s;17.04 Mbit/s;http://www.speedtest.net/result/5172812440.png
2016-03-16 16:00:01;2016-03-16 16:00:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;24.631 ms;93.26 Mbit/s;17.41 Mbit/s;http://www.speedtest.net/result/5172826473.png
2016-03-16 16:05:01;2016-03-16 16:05:27;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.494 ms;90.78 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5172840401.png
2016-03-16 16:10:01;2016-03-16 16:10:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.315 ms;91.94 Mbit/s;19.52 Mbit/s;http://www.speedtest.net/result/5172854253.png
2016-03-16 16:15:01;2016-03-16 16:15:29;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;27.894 ms;89.38 Mbit/s;17.81 Mbit/s;http://www.speedtest.net/result/5172868323.png
2016-03-16 16:20:01;2016-03-16 16:20:32;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.986 ms;92.16 Mbit/s;16.12 Mbit/s;http://www.speedtest.net/result/5172882453.png
2016-03-16 16:25:01;2016-03-16 16:25:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;25.962 ms;88.31 Mbit/s;19.59 Mbit/s;http://www.speedtest.net/result/5172896122.png
2016-03-16 16:30:01;2016-03-16 16:30:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;22.608 ms;92.60 Mbit/s;19.45 Mbit/s;http://www.speedtest.net/result/5172910272.png
2016-03-16 16:35:01;2016-03-16 16:35:33;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;24.461 ms;87.23 Mbit/s;12.19 Mbit/s;http://www.speedtest.net/result/5172924498.png
2016-03-16 16:40:01;2016-03-16 16:40:28;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;28.4 ms;90.41 Mbit/s;19.55 Mbit/s;http://www.speedtest.net/result/5172938045.png
2016-03-16 16:45:01;2016-03-16 16:45:32;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;24.833 ms;90.45 Mbit/s;10.82 Mbit/s;http://www.speedtest.net/result/5172952254.png
2016-03-16 16:50:01;2016-03-16 16:50:34;SFR;78.126.184.135;Proceau (Nanterre);8.57 km;29.814 ms;84.69 Mbit/s;10.36 Mbit/s;http://www.speedtest.net/result/5172966211.png
2016-03-16 16:55:01;2016-03-16 16:55:28;SFR;78.126.184.135;FreeMobile (Paris);19.06 km;26.642 ms;90.31 Mbit/s;18.73 Mbit/s;http://www.speedtest.net/result/5172979801.png
2016-03-16 17:00:01;2016-03-16 17:00:31;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;26.237 ms;92.90 Mbit/s;19.00 Mbit/s;http://www.speedtest.net/result/5172993646.png
2016-03-16 17:05:01;2016-03-16 17:05:34;SFR;78.126.184.135;fdcservers.net (Paris);19.06 km;23.591 ms;88.27 Mbit/s;12.85 Mbit/s;http://www.speedtest.net/result/5173008192.png
